Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Keluaran_Game
NCAA Football 11,X360,2010,Sports,Electronic Arts,0.86,0.0,0.0,0.06,0.92,86.0,29.0,7.1,70.0,E,Game Baru
007: The World is not Enough,PS,2000,Action,Electronic Arts,0.51,0.35,0.0,0.06,0.92,61.0,11.0,6.7,44.0,T,Game Lawas
Phoenix Wright: Ace Attorney,DS,2005,Adventure,Capcom,0.44,0.05,0.39,0.05,0.92,81.0,53.0,9.2,203.0,T,Game Lawas
Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,0.42,0.33,0.03,0.15,0.92,82.0,49.0,7.8,347.0,M,Game Baru
Harvest Moon 3D: A New Beginning,3DS,2012,Action,Marvelous Entertainment,0.41,0.17,0.3,0.05,0.92,74.0,21.0,8.2,62.0,E,Game Baru
LEGO Harry Potter: Years 5-7,PS3,2011,Action,Warner Bros. Interactive Entertainment,0.36,0.41,0.0,0.15,0.92,76.0,27.0,8.3,48.0,E10+,Game Baru
MLB 12: The Show,PS3,2012,Sports,Sony Computer Entertainment,0.86,0.0,0.0,0.06,0.92,87.0,23.0,7.5,75.0,E,Game Baru
Wii Play: Motion,Wii,2011,Misc,Nintendo,0.23,0.42,0.18,0.09,0.92,60.0,34.0,6.1,16.0,E10+,Game Baru
SpongeBob SquarePants: The Yellow Avenger,PSP,2006,Action,THQ,0.55,0.21,0.0,0.16,0.92,48.0,9.0,6.4,13.0,E,Game Lawas
Dantes Inferno,X360,2010,Action,Electronic Arts,0.63,0.2,0.02,0.07,0.92,73.0,71.0,7.7,225.0,M,Game Baru
EA Sports Active 2,PS3,2010,Sports,Electronic Arts,0.53,0.27,0.0,0.12,0.92,78.0,20.0,5.4,14.0,E,Game Baru
WWE SmackDown vs. Raw 2009,X360,2008,Fighting,THQ,0.58,0.26,0.0,0.08,0.92,79.0,47.0,7.1,34.0,T,Game Baru
Sonic Riders,GC,2006,Racing,Sega,0.71,0.18,0.0,0.03,0.92,59.0,32.0,8.0,46.0,E,Game Lawas
Blue Dragon,X360,2006,Role-Playing,Microsoft Game Studios,0.3,0.32,0.21,0.08,0.92,79.0,56.0,7.8,161.0,T,Game Lawas
LEGO Marvel Super Heroes,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.42,0.38,0.04,0.07,0.92,61.0,4.0,5.2,11.0,E10+,Game Baru
NBA 2K14,XOne,2013,Sports,Take-Two Interactive,0.71,0.11,0.0,0.09,0.91,86.0,15.0,5.7,183.0,E,Game Baru
FIFA Street,X360,2012,Sports,Electronic Arts,0.19,0.62,0.0,0.1,0.91,77.0,47.0,6.7,58.0,E,Game Baru
Kung Fu Panda,Wii,2008,Action,Activision,0.5,0.32,0.0,0.09,0.91,70.0,20.0,6.7,7.0,E10+,Game Baru
Street Hoops,PS2,2002,Sports,Activision,0.45,0.35,0.0,0.12,0.91,62.0,22.0,7.9,10.0,T,Game Lawas
Knockout Kings 2002,PS2,2002,Sports,Electronic Arts,0.45,0.35,0.0,0.12,0.91,76.0,23.0,8.1,12.0,T,Game Lawas
Tom Clancys EndWar,X360,2008,Strategy,Ubisoft,0.58,0.24,0.01,0.09,0.91,77.0,63.0,7.2,53.0,T,Game Baru
Tokyo Xtreme Racer 3,PS2,2003,Racing,Genki,0.35,0.27,0.21,0.09,0.91,63.0,15.0,8.9,23.0,E,Game Lawas
Xenoblade Chronicles,Wii,2010,Role-Playing,Nintendo,0.43,0.25,0.16,0.07,0.91,92.0,59.0,8.9,957.0,T,Game Baru
Colin McRae Rally 2.0,PS,2000,Racing,Codemasters,0.02,0.8,0.02,0.07,0.91,90.0,13.0,8.7,31.0,E,Game Lawas
Dynasty Warriors 7,PS3,2011,Action,Tecmo Koei,0.25,0.13,0.46,0.06,0.91,57.0,25.0,7.4,58.0,T,Game Baru
SSX,PS3,2012,Sports,Electronic Arts,0.35,0.41,0.02,0.14,0.91,81.0,38.0,6.8,111.0,E,Game Baru
Sonic Riders: Zero Gravity,Wii,2008,Racing,Sega,0.48,0.32,0.02,0.09,0.91,56.0,26.0,8.1,57.0,E,Game Baru
Dragon Ball: Xenoverse 2,PS4,2016,Action,Namco Bandai Games,0.29,0.38,0.1,0.13,0.91,72.0,57.0,7.7,123.0,T,Game Baru
Sonic Mega Collection Plus,X,2004,Misc,Sega,0.61,0.26,0.0,0.04,0.91,75.0,20.0,7.9,12.0,E,Game Lawas
Operation Flashpoint: Dragon Rising,PS3,2009,Shooter,Codemasters,0.23,0.46,0.05,0.17,0.91,76.0,42.0,6.5,53.0,M,Game Baru
Madden NFL 25,PS4,2013,Sports,Electronic Arts,0.63,0.13,0.0,0.15,0.91,74.0,13.0,5.2,118.0,E,Game Baru
Tiger Woods PGA Tour 2002,PS2,2002,Sports,Electronic Arts,0.44,0.35,0.0,0.12,0.9,80.0,23.0,7.6,5.0,E,Game Lawas
Lost Odyssey,X360,2007,Role-Playing,Microsoft Game Studios,0.45,0.26,0.11,0.08,0.9,78.0,68.0,8.3,435.0,T,Game Baru
MLB 2005,PS2,2004,Sports,Sony Computer Entertainment,0.44,0.35,0.0,0.12,0.9,78.0,36.0,7.6,9.0,E,Game Lawas
Marvel: Ultimate Alliance 2,X360,2009,Role-Playing,Activision,0.68,0.15,0.0,0.08,0.9,73.0,75.0,7.3,83.0,T,Game Baru
Burnout Revenge,PS2,2005,Racing,Electronic Arts,0.75,0.03,0.0,0.12,0.9,90.0,52.0,8.8,115.0,E10+,Game Lawas
The Witcher 2: Assassins of Kings,X360,2012,Action,Namco Bandai Games,0.48,0.32,0.02,0.08,0.9,88.0,82.0,8.3,818.0,M,Game Baru
Crysis 3,X360,2013,Shooter,Electronic Arts,0.51,0.31,0.01,0.08,0.9,76.0,45.0,6.7,345.0,M,Game Baru
Homefront,PS3,2011,Shooter,THQ,0.32,0.39,0.04,0.15,0.9,70.0,60.0,5.7,174.0,M,Game Baru
MX vs. ATV Reflex,PS3,2009,Racing,THQ,0.52,0.25,0.0,0.12,0.9,74.0,44.0,7.4,10.0,E,Game Baru
Hot Shots Tennis,PS2,2006,Sports,Sony Computer Entertainment,0.17,0.13,0.55,0.05,0.9,70.0,44.0,8.1,8.0,E,Game Lawas
Sonic Heroes,X,2003,Platform,Sega,0.41,0.43,0.01,0.05,0.9,73.0,28.0,7.6,34.0,E,Game Lawas
Spider-Man 3,PS2,2007,Platform,Activision,0.74,0.03,0.01,0.12,0.9,50.0,14.0,6.5,28.0,T,Game Baru
James Bond 007: Agent Under Fire,X,2002,Shooter,Electronic Arts,0.65,0.22,0.0,0.03,0.9,71.0,16.0,7.5,15.0,T,Game Lawas
Titanfall 2,XOne,2016,Shooter,Electronic Arts,0.58,0.23,0.0,0.08,0.9,87.0,31.0,8.0,279.0,M,Game Baru
DJ Hero,PS3,2009,Misc,Activision,0.42,0.34,0.0,0.14,0.9,86.0,53.0,7.8,50.0,T,Game Baru
X-Men Legends,X,2004,Role-Playing,Activision,0.62,0.24,0.0,0.04,0.9,82.0,63.0,8.5,14.0,T,Game Lawas
NBA Live 2005,X,2004,Sports,Electronic Arts,0.81,0.05,0.0,0.04,0.9,85.0,28.0,7.6,14.0,E,Game Lawas
Harry Potter: Quidditch World Cup,PS2,2003,Sports,Electronic Arts,0.44,0.34,0.0,0.11,0.9,68.0,21.0,6.6,27.0,E,Game Lawas
Blitz: The League,PS2,2005,Sports,Midway Games,0.74,0.03,0.0,0.12,0.89,76.0,25.0,8.0,20.0,M,Game Lawas
Castlevania: Circle of the Moon,GBA,2001,Platform,Konami Digital Entertainment,0.6,0.22,0.05,0.02,0.89,91.0,22.0,8.5,59.0,T,Game Lawas
SOCOM 4: U.S. Navy SEALs,PS3,2011,Shooter,Sony Computer Entertainment,0.66,0.11,0.04,0.08,0.89,67.0,64.0,6.3,121.0,M,Game Baru
Tiger Woods PGA Tour 06,PS2,2005,Sports,Electronic Arts,0.74,0.03,0.0,0.12,0.89,83.0,29.0,6.2,16.0,E,Game Lawas
Classic NES Series: The Legend of Zelda,GBA,2004,Adventure,Nintendo,0.46,0.17,0.24,0.02,0.89,84.0,16.0,8.6,59.0,E,Game Lawas
Fire Emblem: The Sacred Stones,GBA,2004,Strategy,Nintendo,0.42,0.16,0.3,0.02,0.89,85.0,38.0,9.1,132.0,E,Game Lawas
Killzone: Liberation,PSP,2006,Shooter,Sony Computer Entertainment,0.44,0.27,0.0,0.18,0.89,77.0,56.0,8.2,81.0,T,Game Lawas
Resistance: Retribution,PSP,2009,Shooter,Sony Computer Entertainment,0.27,0.36,0.05,0.21,0.89,81.0,67.0,8.1,84.0,M,Game Baru
Finding Nemo,GC,2003,Action,THQ,0.69,0.18,0.0,0.02,0.89,62.0,11.0,5.5,8.0,E,Game Lawas
Ace Combat 2,PS,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,83.0,10.0,8.2,22.0,T,Game Lawas
NFL 2K2,PS2,2001,Sports,Sega,0.44,0.34,0.0,0.11,0.89,85.0,16.0,7.5,6.0,E,Game Lawas
Pure,PS3,2008,Racing,Disney Interactive Studios,0.42,0.33,0.0,0.14,0.89,83.0,43.0,7.8,30.0,E,Game Baru
Call of Duty: World at War,DS,2008,Shooter,Activision,0.56,0.25,0.0,0.08,0.89,75.0,12.0,7.8,20.0,T,Game Baru
Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.19,0.55,0.01,0.14,0.89,78.0,61.0,7.5,91.0,E10+,Game Baru
Tiger Woods PGA Tour 12: The Masters,PS3,2011,Sports,Electronic Arts,0.52,0.25,0.0,0.11,0.89,80.0,41.0,7.3,17.0,E,Game Baru
FIFA Soccer 09 All-Play,Wii,2008,Sports,Electronic Arts,0.28,0.51,0.0,0.09,0.89,80.0,18.0,8.4,22.0,E,Game Baru
LEGO Indiana Jones 2: The Adventure Continues,PS3,2009,Action,Activision,0.47,0.29,0.0,0.13,0.89,70.0,25.0,7.1,16.0,E10+,Game Baru
Fossil Fighters,DS,2008,Role-Playing,Nintendo,0.83,0.0,0.0,0.06,0.89,70.0,17.0,7.9,15.0,E,Game Baru
NCAA Football 13,PS3,2012,Action,Electronic Arts,0.82,0.0,0.0,0.07,0.89,79.0,9.0,4.1,34.0,E,Game Baru
Samba De Amigo,Wii,2008,Misc,Sega,0.41,0.37,0.01,0.09,0.88,68.0,43.0,8.1,40.0,E,Game Baru
The Simpsons Game,PS3,2007,Action,Electronic Arts,0.38,0.36,0.0,0.15,0.88,71.0,30.0,7.4,50.0,T,Game Baru
Call of Duty: Modern Warfare 2,PC,2009,Shooter,Activision,0.01,0.79,0.0,0.09,0.88,86.0,40.0,4.2,6441.0,M,Game Baru
The Tomb Raider Trilogy,PS3,2011,Action,Square Enix,0.27,0.46,0.0,0.15,0.88,78.0,37.0,8.1,61.0,T,Game Baru
F1 2010,X360,2010,Racing,Codemasters,0.18,0.59,0.01,0.1,0.88,84.0,43.0,7.5,65.0,E,Game Baru
Call of Juarez: Bound in Blood,PS3,2009,Shooter,Ubisoft,0.35,0.37,0.01,0.15,0.88,78.0,47.0,7.8,91.0,M,Game Baru
NBA 2K6,PS2,2005,Action,Take-Two Interactive,0.43,0.34,0.0,0.11,0.88,84.0,23.0,8.3,13.0,E,Game Lawas
Dissidia 012: Duodecim Final Fantasy,PSP,2011,Fighting,Square Enix,0.21,0.12,0.46,0.08,0.88,78.0,52.0,8.3,144.0,T,Game Baru
Monster 4X4: World Circuit,Wii,2006,Racing,Ubisoft,0.8,0.0,0.01,0.07,0.88,51.0,11.0,7.8,17.0,E,Game Lawas
Resident Evil: Revelations,3DS,2012,Action,Capcom,0.3,0.22,0.3,0.05,0.88,82.0,78.0,8.5,400.0,M,Game Baru
Sonic Chronicles: The Dark Brotherhood,DS,2008,Role-Playing,Sega,0.5,0.29,0.01,0.08,0.88,74.0,55.0,7.3,81.0,E,Game Baru
Star Wars: The Force Unleashed,DS,2008,Action,LucasArts,0.5,0.28,0.0,0.09,0.88,61.0,8.0,5.5,18.0,T,Game Baru
Grand Theft Auto IV,PC,2008,Action,Take-Two Interactive,0.01,0.79,0.0,0.07,0.88,90.0,40.0,6.6,2312.0,M,Game Baru
Rock Band 3,X360,2010,Misc,MTV Games,0.73,0.09,0.0,0.06,0.88,93.0,57.0,8.2,137.0,T,Game Baru
WWE SmackDown vs. Raw 2011,X360,2010,Fighting,THQ,0.44,0.35,0.0,0.08,0.88,75.0,49.0,7.6,45.0,T,Game Baru
ESPN NHL 2K5,PS2,2004,Sports,Global Star,0.43,0.33,0.0,0.11,0.88,86.0,25.0,8.1,18.0,E,Game Lawas
Crimson Skies: High Road to Revenge,X,2003,Simulation,Microsoft Game Studios,0.65,0.19,0.0,0.03,0.87,88.0,49.0,8.8,45.0,T,Game Lawas
F1 2009,Wii,2009,Racing,Codemasters,0.15,0.62,0.0,0.11,0.87,69.0,29.0,7.2,30.0,E,Game Baru
Madden NFL 08,Wii,2007,Sports,Electronic Arts,0.8,0.0,0.0,0.07,0.87,76.0,29.0,6.8,27.0,E,Game Baru
Spec Ops: Ranger Elite,PS,2001,Shooter,TalonSoft,0.49,0.33,0.0,0.06,0.87,48.0,4.0,6.6,16.0,T,Game Lawas
Tom Clancys Ghost Recon: Island Thunder,X,2003,Shooter,Ubisoft,0.61,0.24,0.0,0.03,0.87,81.0,33.0,8.8,17.0,M,Game Lawas
Sleeping Dogs,X360,2012,Action,Square Enix ,0.38,0.4,0.01,0.08,0.87,80.0,47.0,7.9,469.0,M,Game Baru
Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,Electronic Arts,0.55,0.24,0.01,0.07,0.87,80.0,71.0,7.7,447.0,M,Game Baru
Kingdom Hearts Re: Chain of Memories,PS2,2008,Role-Playing,Square Enix,0.73,0.03,0.0,0.12,0.87,68.0,20.0,7.2,107.0,E10+,Game Baru
Phantasy Star Portable 2,PSP,2009,Role-Playing,Sega,0.08,0.11,0.62,0.06,0.87,69.0,27.0,8.1,35.0,T,Game Baru
Michael Jackson: The Experience,X360,2011,Misc,Ubisoft,0.62,0.18,0.0,0.07,0.87,63.0,31.0,6.8,29.0,E10+,Game Baru
LittleBigPlanet Karting,PS3,2012,Action,Sony Computer Entertainment,0.42,0.3,0.01,0.15,0.87,73.0,69.0,6.9,159.0,E,Game Baru
Tony Hawks Project 8,PS2,2006,Sports,Activision,0.72,0.03,0.0,0.12,0.87,69.0,17.0,7.3,19.0,T,Game Lawas
GRID,X360,2008,Racing,Codemasters,0.33,0.44,0.01,0.09,0.87,87.0,62.0,7.9,131.0,E,Game Baru
DiRT,X360,2007,Racing,Codemasters,0.38,0.4,0.0,0.09,0.87,83.0,59.0,7.4,94.0,E,Game Baru
Red Faction: Guerrilla,X360,2009,Shooter,THQ,0.48,0.29,0.01,0.09,0.87,85.0,84.0,8.0,239.0,M,Game Baru
Fight Night Round 2,PS2,2005,Fighting,Electronic Arts,0.72,0.03,0.0,0.12,0.87,88.0,37.0,9.0,37.0,T,Game Lawas
Conflict: Desert Storm,X,2002,Shooter,SCi,0.48,0.37,0.0,0.02,0.87,65.0,14.0,8.1,17.0,T,Game Lawas
Cooking Mama: World Kitchen,Wii,2008,Simulation,505 Games,0.51,0.27,0.01,0.08,0.87,62.0,17.0,4.9,12.0,E,Game Baru
Dragon Quest VIII: Journey of the Cursed King,3DS,2015,Role-Playing,Square Enix,0.0,0.0,0.87,0.0,0.87,86.0,32.0,9.6,26.0,T,Game Baru
Brothers in Arms: Hells Highway,X360,2008,Shooter,Ubisoft,0.47,0.3,0.0,0.09,0.87,76.0,65.0,8.3,149.0,M,Game Baru
Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87,92.0,19.0,8.4,131.0,T,Game Lawas
Warriors Orochi,PS2,2007,Action,Tecmo Koei,0.11,0.09,0.64,0.03,0.87,55.0,14.0,8.2,17.0,T,Game Baru
Crysis 3,PS3,2013,Shooter,Electronic Arts,0.26,0.42,0.03,0.16,0.87,77.0,23.0,6.3,288.0,M,Game Baru
Mercenaries 2: World in Flames,PS3,2008,Shooter,Electronic Arts,0.29,0.39,0.02,0.16,0.87,72.0,43.0,7.1,73.0,T,Game Baru
Xenoblade Chronicles X,WiiU,2015,Role-Playing,Nintendo,0.38,0.28,0.15,0.06,0.86,84.0,87.0,8.9,1562.0,T,Game Baru
Ghostbusters: The Video Game,Wii,2009,Action,Atari,0.59,0.2,0.0,0.07,0.86,76.0,29.0,8.5,28.0,E10+,Game Baru
LEGO Dimensions,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.29,0.44,0.0,0.14,0.86,80.0,53.0,7.0,67.0,E10+,Game Baru
Endless Ocean: Blue World,Wii,2009,Simulation,Nintendo,0.46,0.21,0.12,0.06,0.86,76.0,42.0,8.5,26.0,E10+,Game Baru
Winning Eleven: Pro Evolution Soccer 2007,PSP,2006,Sports,Konami Digital Entertainment,0.01,0.72,0.12,0.01,0.86,81.0,10.0,8.3,14.0,E,Game Lawas
Rocky,PS2,2002,Fighting,Rage Software,0.42,0.33,0.0,0.11,0.86,74.0,14.0,8.4,11.0,T,Game Lawas
Farming Simulator 17,PC,2016,Simulation,Focus Home Interactive,0.04,0.77,0.0,0.05,0.86,68.0,11.0,7.9,21.0,E,Game Baru
Ford Racing,PS,2001,Racing,Empire Interactive,0.48,0.33,0.0,0.06,0.86,53.0,4.0,5.8,4.0,E,Game Lawas
Guitar Hero: Warriors of Rock,X360,2010,Misc,Activision,0.47,0.31,0.0,0.08,0.86,72.0,65.0,6.5,53.0,T,Game Baru
Lemmings,PSP,2006,Puzzle,Sony Computer Entertainment,0.12,0.51,0.0,0.23,0.86,76.0,46.0,7.9,14.0,E,Game Lawas
Dynasty Warriors 4: Xtreme Legends,PS2,2003,Action,Tecmo Koei,0.17,0.13,0.51,0.04,0.86,72.0,15.0,9.1,39.0,T,Game Lawas
Tomb Raider: Anniversary,Wii,2007,Action,Eidos Interactive,0.12,0.62,0.0,0.11,0.85,73.0,22.0,7.3,25.0,T,Game Baru
2010 FIFA World Cup South Africa,X360,2010,Sports,Electronic Arts,0.32,0.42,0.02,0.09,0.85,83.0,61.0,8.1,58.0,E,Game Baru
NBA 2K8,X360,2007,Sports,Take-Two Interactive,0.79,0.0,0.0,0.07,0.85,81.0,33.0,7.0,28.0,E,Game Baru
Tiger Woods PGA Tour 2005,X,2004,Sports,Electronic Arts,0.64,0.18,0.0,0.03,0.85,88.0,26.0,8.9,14.0,E,Game Lawas
The Lord of the Rings: War in the North,X360,2011,Action,Warner Bros. Interactive Entertainment,0.53,0.24,0.0,0.08,0.85,61.0,48.0,7.4,113.0,M,Game Baru
Kingdoms of Amalur: Reckoning,PS3,2012,Role-Playing,Electronic Arts,0.37,0.29,0.09,0.11,0.85,81.0,34.0,7.6,376.0,M,Game Baru
Dragon Ball Z: Burst Limit,PS3,2008,Fighting,Atari,0.22,0.33,0.18,0.12,0.85,71.0,32.0,7.2,52.0,T,Game Baru
Tekken Tag Tournament 2,PS3,2012,Fighting,Namco Bandai Games,0.28,0.31,0.13,0.13,0.85,82.0,50.0,8.2,195.0,T,Game Baru
Wii Fit U,WiiU,2013,Sports,Nintendo,0.35,0.23,0.21,0.05,0.85,72.0,19.0,7.7,72.0,E,Game Baru
Ninja Gaiden Sigma 2,PS3,2009,Action,Ubisoft Annecy,0.52,0.16,0.08,0.1,0.85,83.0,52.0,7.7,115.0,M,Game Baru
Tales of Xillia 2,PS3,2012,Role-Playing,Namco Bandai Games,0.21,0.13,0.45,0.07,0.85,71.0,59.0,7.9,216.0,T,Game Baru
Ratatouille,PS2,2007,Action,THQ,0.31,0.0,0.0,0.53,0.85,65.0,9.0,8.0,11.0,E,Game Baru
Burnout 2: Point of Impact,PS2,2002,Racing,Acclaim Entertainment,0.42,0.32,0.0,0.11,0.85,86.0,31.0,8.2,49.0,E,Game Lawas
Street Fighter EX3,PS2,2000,Fighting,Virgin Interactive,0.32,0.25,0.2,0.08,0.85,64.0,17.0,7.9,31.0,T,Game Lawas
The Legendary Starfy,DS,2008,Platform,Nintendo,0.6,0.0,0.2,0.05,0.85,75.0,25.0,8.4,26.0,E,Game Baru
NCAA Football 11,PS3,2010,Sports,Electronic Arts,0.79,0.0,0.0,0.06,0.85,85.0,22.0,7.4,25.0,E,Game Baru
The House of the Dead: Overkill,Wii,2009,Shooter,Sega,0.44,0.3,0.02,0.09,0.85,78.0,65.0,8.7,95.0,M,Game Baru
Army of Two: The 40th Day,PS3,2010,Shooter,Electronic Arts,0.44,0.27,0.01,0.12,0.85,74.0,56.0,7.0,88.0,M,Game Baru
Darksiders II,PS3,2012,Action,THQ,0.35,0.35,0.01,0.14,0.85,84.0,39.0,7.1,424.0,M,Game Baru
Spider-Man 2,GC,2004,Action,Activision,0.65,0.17,0.0,0.02,0.84,80.0,41.0,8.8,30.0,T,Game Lawas
Ghostbusters: The Video Game,PS3,2009,Action,Sony Computer Entertainment,0.34,0.36,0.0,0.14,0.84,78.0,74.0,7.9,96.0,T,Game Baru
The Incredibles,GC,2004,Action,THQ,0.65,0.17,0.0,0.02,0.84,63.0,27.0,7.1,7.0,T,Game Lawas
NBA 2K10,PS3,2009,Sports,Take-Two Interactive,0.75,0.01,0.01,0.07,0.84,83.0,30.0,7.8,39.0,E,Game Baru
Skate 2,PS3,2009,Sports,Electronic Arts,0.46,0.25,0.01,0.12,0.84,84.0,50.0,7.8,53.0,T,Game Baru
Big Mutha Truckers,PS2,2002,Racing,Empire Interactive,0.41,0.32,0.0,0.11,0.84,62.0,15.0,5.3,20.0,T,Game Lawas
Rogue Galaxy,PS2,2005,Role-Playing,Sony Computer Entertainment,0.24,0.16,0.39,0.05,0.84,83.0,59.0,8.5,90.0,T,Game Lawas
Tales of the Abyss,3DS,2011,Role-Playing,Namco Bandai Games,0.44,0.19,0.14,0.06,0.84,75.0,33.0,7.6,198.0,T,Game Baru
ESPN College Hoops 2K5,PS2,2004,Sports,Sega,0.41,0.32,0.0,0.11,0.84,86.0,14.0,8.1,10.0,E,Game Lawas
NCAA Football 14,PS3,2013,Sports,Electronic Arts,0.75,0.0,0.0,0.09,0.84,77.0,9.0,6.2,40.0,E,Game Baru
Burnout Legends,PSP,2005,Racing,Electronic Arts,0.7,0.05,0.0,0.08,0.84,86.0,53.0,8.4,108.0,E10+,Game Lawas
Harry Potter and the Order of the Phoenix,DS,2007,Action,Electronic Arts,0.28,0.46,0.0,0.1,0.84,51.0,15.0,4.9,19.0,E,Game Baru
Sniper Elite V2,X360,2012,Shooter,505 Games,0.46,0.28,0.02,0.07,0.84,67.0,37.0,6.8,131.0,M,Game Baru
Madden NFL 09 All-Play,Wii,2008,Sports,Electronic Arts,0.77,0.01,0.0,0.06,0.84,82.0,19.0,7.2,22.0,E,Game Baru
Metroid: Zero Mission,GBA,2004,Adventure,Nintendo,0.6,0.22,0.0,0.01,0.84,89.0,50.0,9.0,132.0,E,Game Lawas
Blazing Angels: Squadrons of WWII,Wii,2007,Simulation,Ubisoft,0.74,0.04,0.0,0.06,0.83,57.0,11.0,6.7,28.0,T,Game Baru
Dynasty Warriors 2,PS2,2000,Action,THQ,0.24,0.19,0.34,0.06,0.83,75.0,17.0,8.8,24.0,T,Game Lawas
Time Crisis 4,PS3,2007,Shooter,Namco Bandai Games,0.32,0.32,0.05,0.14,0.83,60.0,52.0,7.4,21.0,T,Game Baru
Madden NFL 07,PSP,2006,Sports,Electronic Arts,0.77,0.03,0.0,0.04,0.83,78.0,18.0,6.6,16.0,E,Game Lawas
Duke Nukem Forever,X360,2011,Shooter,Take-Two Interactive,0.52,0.25,0.0,0.07,0.83,49.0,76.0,4.4,456.0,M,Game Baru
Lizzie McGuire 2: Lizzie Diaries,GBA,2004,Action,Disney Interactive Studios,0.6,0.22,0.0,0.01,0.83,57.0,6.0,5.0,5.0,E,Game Lawas
NCAA Football 12,PS3,2011,Sports,Electronic Arts,0.78,0.0,0.0,0.05,0.83,82.0,17.0,5.8,41.0,E,Game Baru
Tiger Woods PGA Tour 11,PS3,2010,Sports,Electronic Arts,0.37,0.33,0.0,0.13,0.83,78.0,40.0,6.7,17.0,E,Game Baru
Brute Force,X,2003,Shooter,Microsoft Game Studios,0.62,0.18,0.01,0.03,0.83,77.0,45.0,7.8,49.0,M,Game Lawas
WWE SmackDown vs. Raw 2009,Wii,2008,Fighting,THQ,0.44,0.31,0.0,0.08,0.83,79.0,18.0,8.5,18.0,T,Game Baru
Sly 3: Honor Among Thieves,PS2,2005,Platform,Sony Computer Entertainment,0.69,0.03,0.0,0.11,0.83,83.0,59.0,8.8,130.0,E10+,Game Lawas
MLB SlugFest 20-03,PS2,2002,Sports,Midway Games,0.41,0.32,0.0,0.11,0.83,77.0,25.0,8.2,6.0,E,Game Lawas
Need for Speed: Nitro,Wii,2009,Racing,Electronic Arts,0.45,0.3,0.0,0.08,0.83,69.0,41.0,7.4,38.0,E10+,Game Baru
DJ Hero 2,X360,2010,Misc,Activision,0.65,0.12,0.0,0.06,0.83,86.0,66.0,7.9,23.0,T,Game Baru
Rare Replay,XOne,2015,Misc,Microsoft Game Studios,0.52,0.22,0.01,0.08,0.83,84.0,75.0,7.7,330.0,M,Game Baru
Street Fighter X Tekken,PS3,2012,Fighting,Capcom,0.42,0.21,0.1,0.09,0.83,84.0,51.0,5.3,191.0,T,Game Baru
Sid Meiers Civilization Revolution,X360,2008,Strategy,Take-Two Interactive,0.58,0.17,0.0,0.07,0.83,84.0,55.0,7.8,172.0,E10+,Game Baru
Dragon Age II,PS3,2011,Action,Electronic Arts,0.4,0.26,0.05,0.11,0.83,82.0,52.0,4.3,1199.0,M,Game Baru
Call of Duty: Modern Warfare 3,Wii,2011,Shooter,Activision,0.55,0.2,0.0,0.08,0.83,70.0,16.0,1.8,442.0,M,Game Baru
James Bond 007: Nightfire,X,2002,Shooter,Electronic Arts,0.58,0.22,0.0,0.03,0.82,78.0,30.0,7.8,25.0,T,Game Lawas
Tony Hawks Pro Skater 3,GC,2001,Sports,Activision,0.64,0.17,0.0,0.02,0.82,91.0,27.0,9.0,27.0,T,Game Lawas
Marvel: Ultimate Alliance,PS2,2006,Role-Playing,Activision,0.69,0.03,0.0,0.11,0.82,81.0,29.0,8.2,35.0,T,Game Lawas
Stranglehold,X360,2007,Shooter,Midway Games,0.4,0.33,0.01,0.09,0.82,77.0,59.0,7.6,91.0,M,Game Baru
Harvest Moon: Tree of Tranquility,Wii,2007,Simulation,Rising Star Games,0.67,0.03,0.06,0.05,0.82,65.0,18.0,8.2,28.0,E,Game Baru
Tony Hawks Underground 2 Remix,PSP,2005,Sports,Activision,0.46,0.21,0.0,0.15,0.82,83.0,49.0,8.0,34.0,T,Game Lawas
Madden NFL 25,XOne,2013,Sports,Electronic Arts,0.68,0.05,0.0,0.09,0.82,73.0,18.0,5.9,111.0,E,Game Baru
Need for Speed: Hot Pursuit 2,X,2002,Racing,Electronic Arts,0.68,0.11,0.0,0.03,0.82,75.0,18.0,6.4,15.0,E,Game Lawas
Amped: Freestyle Snowboarding,X,2001,Sports,Microsoft Game Studios,0.69,0.11,0.0,0.02,0.82,78.0,30.0,9.0,20.0,E,Game Lawas
LEGO Marvels Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.28,0.4,0.01,0.13,0.82,71.0,70.0,7.0,87.0,E10+,Game Baru
Killzone: Mercenary,PSV,2013,Shooter,Sony Computer Entertainment Europe,0.2,0.4,0.04,0.17,0.82,78.0,86.0,8.8,517.0,M,Game Baru
